model,MAE,MAPE,RMSE
SARIMA,70.6082863456801,7.644601481768161,97.41378233839922
LSTM,73.58179360344296,7.853868692380363,101.36236722397167
TCN,87.642136210487,11.808729959543466,110.8623212070748
