stage,rss_mb,elapsed_s,rss_delta_vs_baseline_mb
baseline (imports only),196.2,,0.0
"naive full single-file load (sms-call-internet-mi-2013-11-01.txt, all columns, no chunking)",492.3,7.6,296.1
"after chunked Pass 1 (ranking scan, all 62 files, 2 cols)",205.9,289.8,9.7
"after chunked Pass 2 (extraction scan, all 62 files, 3 cols)",222.0,295.7,25.8
