model,MAE,MAPE,RMSE
SARIMA,71.65115677339242,9.201007904261987,97.63070993333491
LSTM,71.8224283400036,9.772335692560773,96.8605621159439
TCN,72.61117676326207,9.95419050454132,96.41292243513416
